question text,option 1,option 2,option 3,option 4,correct answer,difficulty level,subject,prep level,unit number
What type of lunar eclipse occurs when the entire Moon passes through Earth's umbra?,Partial lunar eclipse,Penumbral lunar eclipse,Total lunar eclipse,Annular lunar eclipse,C,Easy,Science,Prep 1,2
What type of lunar eclipse occurs when only part of the Moon passes through Earth's umbra?,Partial lunar eclipse,Penumbral lunar eclipse,Total lunar eclipse,Annular lunar eclipse,A,Easy,Science,Prep 1,2
Is it safe to look directly at a lunar eclipse?,"No, it can damage your eyes.","Yes, lunar eclipses are safe to view directly.",Only during a partial eclipse.,Only with special glasses.,B,Easy,Science,Prep 1,2
What needs to be aligned for a lunar eclipse to happen?,"Sun, Moon, Earth (in that order)","Sun, Earth, Moon (in that order)","Earth, Sun, Moon (in that order)",Any order works.,B,Easy,Science,Prep 1,2
What color does the Moon often appear during a total lunar eclipse?,Bright white,Completely black,Reddish or coppery,Greenish,C,Easy,Science,Prep 1,2
Why does the Moon appear reddish during a total lunar eclipse?,The Moon itself turns red.,"Sunlight passes through Earth's atmosphere, which filters out blue light and refracts red light onto the Moon.",It reflects light from Mars.,Dust in space makes it look red.,B,Medium,Science,Prep 1,2
What is a penumbral lunar eclipse?,When the Moon passes completely into the umbra.,When only part of the Moon passes into the umbra.,When the Moon passes only through Earth's penumbra (lighter shadow).,Another name for a solar eclipse.,C,Medium,Science,Prep 1,2
Why don't we have a lunar eclipse every full moon?,The Earth doesn't always cast a shadow.,"The Moon's orbit is tilted relative to Earth's orbit around the Sun, so they don't always align perfectly.",The Sun is sometimes too bright.,The Moon moves too fast.,B,Medium,Science,Prep 1,2
What is the maximum duration a total lunar eclipse (totality) can last?,About 10 minutes,About 30 minutes,About 1 hour and 47 minutes,About 5 hours,C,Medium,Science,Prep 1,2
From where on Earth can a lunar eclipse be seen?,Only from the North Pole.,Only from the equator.,From anywhere on the night side of Earth where the Moon is visible.,Only from a specific narrow path.,C,Medium,Science,Prep 1,2
What is the difference between a lunar eclipse and a solar eclipse?,"Lunar happens during the day, solar at night.",Lunar involves Earth's shadow on the Moon; solar involves the Moon's shadow on Earth.,Lunar involves the Sun's shadow; solar involves Earth's shadow.,There is no difference.,B,Medium,Science,Prep 1,2
"What are ""eclipse seasons""?",The times of year when the weather is best for viewing eclipses.,"The periods (about twice a year) when the Sun, Earth, and Moon are aligned favorably for eclipses to occur.",The seasons on the Moon.,A type of eclipse.,B,Medium,Science,Prep 1,2
"What is the term for the alignment of three celestial bodies, such as the Sun, Earth, and Moon during an eclipse?",Conjunction,Opposition,Syzygy,Apogee,C,Medium,Science,Prep 1,2
During which part of a lunar eclipse does the Moon enter the umbra?,First contact (P1),Second contact (U1),Third contact (U2),Fourth contact (P4),B,Medium,Science,Prep 1,2
"How does the state of Earth's atmosphere (e.g., amount of volcanic dust) affect the appearance of the Moon during a total lunar eclipse?",It has no effect.,"A cleaner atmosphere leads to a brighter, redder Moon; a dusty atmosphere can make the Moon much darker or almost invisible.",A dusty atmosphere makes the Moon appear blue.,It only affects the timing of the eclipse.,B,Hard,Science,Prep 1,2
Can a lunar eclipse be seen during the day?,"Yes, always.","No, the Moon must be above the horizon during the night.",Only if it's a total eclipse.,"Yes, if the Moon is visible just after sunrise or just before sunset during the eclipse.",D,Hard,Science,Prep 1,2
"What astronomical alignment condition, besides Full Moon, is necessary for a lunar eclipse to occur regarding orbital nodes?",The Moon must be at apogee.,The Moon must be at perigee.,The Full Moon must occur when the Moon is at or very near one of the nodes of its orbit.,The Earth must be at perihelion.,C,Hard,Science,Prep 1,2
What is the difference between mass and weight?,They are the same thing.,Mass is the amount of matter in an object and is constant; weight is the force of gravity on an object and can vary.,Mass is measured in pounds; weight is measured in kilograms.,Mass is a force; weight is a measure of matter.,B,Medium,Science,Prep 1,3
What is the difference between asexual and sexual reproduction?,Asexual involves one parent and produces identical offspring; sexual involves two parents and produces genetically diverse offspring.,Asexual only occurs in plants; sexual only occurs in animals.,Sexual involves one parent; asexual involves two parents.,Asexual reproduction is faster than sexual reproduction.,A,Medium,Science,Prep 1,3
What is the difference between autotrophs and heterotrophs?,"Autotrophs reproduce sexually, heterotrophs asexually.","Autotrophs are multicellular, heterotrophs are unicellular.",Autotrophs make their own food (producers); heterotrophs obtain energy by consuming other organisms (consumers).,"Autotrophs live on land, heterotrophs live in water.",C,Medium,Science,Prep 1,3
What is the difference between the lytic and lysogenic cycles of viral replication?,Lytic cycle involves RNA viruses; lysogenic cycle involves DNA viruses.,Lytic cycle results in immediate host cell destruction; lysogenic cycle involves integration of viral DNA into the host genome and delayed replication.,Lysogenic cycle results in immediate host cell destruction; lytic cycle involves delayed replication.,Lytic cycle occurs in bacteria; lysogenic cycle occurs in animals.,B,Hard,Science,Prep 1,3
What is the difference between rotation and revolution?,Rotation is orbiting another body; revolution is spinning on an axis.,Rotation is spinning on an axis; revolution is orbiting another body.,Rotation causes years; revolution causes days.,There is no difference.,B,Medium,Science,Prep 1,3
Which state of water is rain?,Solid,Liquid,Gas,Plasma,B,Easy,Science,Prep 1,3
What causes water to evaporate?,Cold temperatures,Heat from the sun,Wind only,Pressure from the ocean,B,Easy,Science,Prep 1,3
What is condensation in the water cycle?,When water vapor cools and changes to liquid,When water freezes into ice,When water falls as rain,When water flows in rivers,A,Easy,Science,Prep 1,3
Which of these is NOT part of the water cycle?,Evaporation,Condensation,Precipitation,Photosynthesis,D,Easy,Science,Prep 1,3
Where is most of Earth's freshwater found?,In rivers and lakes,In oceans,In glaciers and ice caps,In the atmosphere,C,Easy,Science,Prep 1,3
What is groundwater?,Water in oceans,Water in the atmosphere,Water stored underground in soil and rock,Water in plants,C,Easy,Science,Prep 1,3
What is transpiration in the water cycle?,When plants release water vapor through their leaves,When water evaporates from oceans,When rain falls from clouds,When water freezes into ice,A,Easy,Science,Prep 1,3
What percentage of Earth's surface is covered by water?,About 30%,About 50%,About 70%,About 90%,C,Easy,Science,Prep 1,3
What is a watershed?,An area where water is stored,A building that holds water,An area of land where all water drains to a common body of water,A type of precipitation,C,Medium,Science,Prep 1,3
Which of these is NOT a state of water?,Liquid,Solid,Gas,Mineral,D,Medium,Science,Prep 1,3
What causes clouds to form?,Evaporation only,Condensation of water vapor,Precipitation of water,Freezing of water,B,Medium,Science,Prep 1,3
What is the process called when water changes directly from solid to gas without becoming liquid?,Evaporation,Condensation,Sublimation,Precipitation,C,Medium,Science,Prep 1,3
Which of these is NOT a type of precipitation?,Rain,Snow,Fog,Hail,C,Medium,Science,Prep 1,3
What is infiltration in the water cycle?,When water soaks into the ground,When water evaporates from the ocean,When clouds form in the sky,When water flows in rivers,A,Medium,Science,Prep 1,3
What is runoff in the water cycle?,Water that evaporates from lakes,Water that falls as rain,Water that flows over land to streams and rivers,Water that is stored in glaciers,C,Medium,Science,Prep 1,3
What is an aquifer?,A cloud formation,An underground layer of permeable rock containing water,A type of precipitation,A body of water on Earth's surface,B,Medium,Science,Prep 1,3
What is the process called when ice or snow changes directly to water vapor without melting first?,Evaporation,Condensation,Sublimation,Precipitation,C,Medium,Science,Prep 1,3
What is the water table?,The top of the groundwater zone,A table made of water,The bottom of a lake or ocean,The surface of a glacier,A,Medium,Science,Prep 1,3
What is the hydrosphere?,All the water on Earth,Only the water in oceans,Only freshwater on Earth,Only water in the atmosphere,A,Hard,Science,Prep 1,3
Which of these factors does NOT affect the rate of evaporation?,Temperature,Wind speed,Humidity,The color of the water,D,Hard,Science,Prep 1,3
What is the process called when water vapor changes directly to ice without becoming liquid first?,Evaporation,Condensation,Deposition,Sublimation,C,Hard,Science,Prep 1,3
What percentage of Earth's freshwater is readily available for human use (not frozen in glaciers or too deep underground)?,Less than 1%,About 10%,About 30%,More than 50%,A,Hard,Science,Prep 1,3
What is a perched water table?,A water table above an impermeable layer and separated from the main water table below,The highest point of any water table,A water table found only in mountains,A water table that has dried up,A,Hard,Science,Prep 1,3
What is the residence time of water?,The time water spends in one part of the water cycle before moving to another,The time it takes for water to evaporate,The time it takes for precipitation to form,The age of water on Earth,A,Hard,Science,Prep 1,3
Which of these has the longest average residence time in the water cycle?,Water in rivers,Water in the atmosphere,Water in oceans,Water in living organisms,C,Hard,Science,Prep 1,3
What is the process called when minerals dissolve in groundwater?,Infiltration,Percolation,Leaching,Runoff,C,Hard,Science,Prep 1,3
What is the primary driving force of the water cycle?,Wind,Earth's rotation,Gravity,Solar energy,D,Hard,Science,Prep 1,3
What is the difference between permeable and impermeable rock in relation to groundwater?,Permeable rock allows water to pass through; impermeable rock does not,Permeable rock is always found near the surface; impermeable rock is always deep,Permeable rock is always sedimentary; impermeable rock is always igneous,Permeable rock contains salt water; impermeable rock contains fresh water,A,Hard,Science,Prep 1,3
What is the water cycle also known as?,The H2O cycle,The hydrologic cycle,The precipitation cycle,The evaporation cycle,B,Easy,Science,Prep 1,3
Which of these is NOT a factor that affects the water cycle?,Earth's gravity,The sun's energy,The moon's phases,Earth's atmosphere,C,Easy,Science,Prep 1,3
What is the main source of energy for the water cycle?,Wind,Earth's core,The sun,Ocean currents,C,Easy,Science,Prep 1,3
Which of these contains the most water on Earth?,Rivers and lakes,Groundwater,Oceans,Glaciers and ice caps,C,Easy,Science,Prep 1,3
What happens during evaporation in the water cycle?,Water changes from liquid to gas,Water changes from gas to liquid,Water changes from solid to liquid,Water changes from liquid to solid,A,Easy,Science,Prep 1,3
What is the role of plants in the water cycle?,They only absorb water,They only release water,They absorb water and release it through transpiration,They have no role in the water cycle,C,Easy,Science,Prep 1,3
What is dew?,Rainwater collected in plants,Water vapor in the air,Water droplets that form when water vapor condenses on cool surfaces,Small ice crystals that form in clouds,C,Easy,Science,Prep 1,3
What is the water cycle important for?,It provides fresh water for all living things,It only affects ocean levels,It only affects weather patterns,It only affects plant growth,A,Easy,Science,Prep 1,3
What is the process called when water moves through soil and rock underground?,Evaporation,Condensation,Percolation,Precipitation,C,Medium,Science,Prep 1,3
What is a drainage basin?,An area where precipitation falls,An area where all water flows to a common outlet,A basin used to collect rainwater,A basin where water evaporates,B,Medium,Science,Prep 1,3
What is the difference between sleet and hail?,Sleet is rain that freezes as it falls; hail forms in thunderstorms,Sleet occurs in summer; hail occurs in winter,Sleet is a type of snow; hail is a type of rain,There is no difference,A,Medium,Science,Prep 1,3
What is the process called when plants lose water vapor through small openings in their leaves?,Evaporation,Condensation,Transpiration,Precipitation,C,Medium,Science,Prep 1,3
What is the zone of saturation in groundwater?,The area where all pore spaces in soil and rock are filled with water,The area where water first enters the ground,The area where water evaporates from the ground,The area where water freezes underground,A,Medium,Science,Prep 1,3
The atomic mass listed on the periodic table is usually a decimal number. Why?,It represents the mass of only the most common isotope.,"It is the average mass of all the naturally occurring isotopes of that element, weighted by their abundance.",It includes the mass of the electrons.,It is a measurement error.,B,Medium,Science,Prep 1,4
Who is credited with creating the first widely accepted periodic table?,John Dalton,J.J. Thomson,Dmitri Mendeleev,Ernest Rutherford,C,Easy,Science,Prep 1,4
How did Mendeleev originally arrange the elements in his periodic table?,By increasing atomic number,By increasing atomic mass and similar properties,Alphabetically,By date of discovery,B,Easy,Science,Prep 1,4
How are elements arranged in the modern periodic table?,By increasing atomic mass,By increasing atomic number,Alphabetically,By number of neutrons,B,Easy,Science,Prep 1,4
What are the horizontal rows in the periodic table called?,Groups,Families,Periods,Series,C,Easy,Science,Prep 1,4
What are the vertical columns in the periodic table called?,Periods,Series,Rows,Groups or Families,D,Easy,Science,Prep 1,4
Where are metals generally located on the periodic table?,On the right side,On the left side and in the center,Along the zigzag line,Only in the first period,B,Easy,Science,Prep 1,4
Where are nonmetals generally located on the periodic table?,On the left side,In the center,On the upper right side,Only in the last period,C,Easy,Science,Prep 1,4
What is the periodic law?,Elements must be arranged by mass.,The physical and chemical properties of the elements are periodic functions of their atomic numbers.,All atoms want to have 8 valence electrons.,Metals react with nonmetals.,B,Medium,Science,Prep 1,4
How did Henry Moseley contribute to the modern periodic table?,He discovered neutrons.,"He determined the atomic numbers of elements, providing a better basis for ordering them than atomic mass.",He created the first periodic table.,He discovered the noble gases.,B,Hard,Science,Prep 1,4
What is the periodic table?,A list of chemical reactions,A chart organizing elements by their properties,A diagram of atomic structure,A list of scientific discoveries,B,Easy,Science,Prep 1,4
Who is credited with creating the first widely recognized periodic table?,Albert Einstein,Isaac Newton,Dmitri Mendeleev,Marie Curie,C,Easy,Science,Prep 1,4
How did Mendeleev initially arrange the elements?,By atomic number,By number of neutrons,By atomic mass and properties,Alphabetically,C,Easy,Science,Prep 1,4
How are elements arranged in the modern periodic table?,By atomic mass,By atomic number,By date of discovery,By density,B,Easy,Science,Prep 1,4
What do the horizontal rows in the periodic table represent?,Groups,Families,Periods,Blocks,C,Easy,Science,Prep 1,4
What do the vertical columns in the periodic table represent?,Periods,Series,Rows,Groups (or Families),D,Easy,Science,Prep 1,4
Elements in the same group typically have similar...?,Atomic masses,Chemical properties,Number of electron shells,Colors,B,Easy,Science,Prep 1,4
Elements in the same period typically have the same number of...?,Valence electrons,Protons,Occupied electron shells,Neutrons,C,Easy,Science,Prep 1,4
Where are metals generally found on the periodic table?,Right side,Left side and center,Top row only,Bottom row only,B,Easy,Science,Prep 1,4
Where are nonmetals generally found on the periodic table?,Left side,Center,Upper right side,Bottom row only,C,Easy,Science,Prep 1,4
What are the elements along the zigzag line called?,Noble gases,Halogens,Metalloids,Alkali metals,C,Easy,Science,Prep 1,4
What does the atomic number represent?,Number of neutrons,Number of protons,Mass number,Number of isotopes,B,Easy,Science,Prep 1,4
What is the chemical symbol for Hydrogen?,He,H,Hy,Ho,B,Easy,Science,Prep 1,4
What is the chemical symbol for Oxygen?,O,Ox,Oy,On,A,Easy,Science,Prep 1,4
What is the chemical symbol for Sodium?,S,So,Na,Sd,C,Easy,Science,Prep 1,4
Which group contains the alkali metals?,Group 1,Group 2,Group 17,Group 18,A,Medium,Science,Prep 1,4
Which group contains the alkaline earth metals?,Group 1,Group 2,Group 17,Group 18,B,Medium,Science,Prep 1,4
Which group contains the halogens?,Group 1,Group 2,Group 17,Group 18,C,Medium,Science,Prep 1,4
Which group contains the noble gases?,Group 1,Group 2,Group 17,Group 18,D,Medium,Science,Prep 1,4
Why are noble gases (Group 18) generally unreactive?,They have too many neutrons,They have a full outer electron shell,They are all liquids,They have very low atomic masses,B,Medium,Science,Prep 1,4
What is the periodic law?,Elements are arranged by mass,Properties of elements are periodic functions of their atomic numbers,All atoms want 8 valence electrons,Metals react with nonmetals,B,Medium,Science,Prep 1,4
How many valence electrons do elements in Group 1 typically have?,1,2,7,8,A,Medium,Science,Prep 1,4
How many valence electrons do elements in Group 17 typically have?,1,2,7,8,C,Medium,Science,Prep 1,4
Which element is in the same period as Sodium (Na)?,Potassium (K),Magnesium (Mg),Chlorine (Cl),Both B and C,D,Medium,Science,Prep 1,4
Which element is in the same group as Fluorine (F)?,Oxygen (O),Chlorine (Cl),Neon (Ne),Sodium (Na),B,Medium,Science,Prep 1,4
What is a general property of metals?,Brittle,Poor conductor of electricity,Good conductor of heat,Gas at room temperature,C,Medium,Science,Prep 1,4
What is a general property of nonmetals?,Malleable,Ductile,Good conductor of electricity,Poor conductor of heat,D,Medium,Science,Prep 1,4
Which of these is a metalloid?,Carbon (C),Silicon (Si),Nitrogen (N),Sulfur (S),B,Medium,Science,Prep 1,4
What contribution did Henry Moseley make to the periodic table?,Discovered neutrons,Determined atomic numbers,Created the first table,Discovered noble gases,B,Medium,Science,Prep 1,4
What does the mass number represent?,Number of protons,Number of electrons,Total number of protons and neutrons,Number of valence electrons,C,Medium,Science,Prep 1,4
What generally happens to atomic radius as you move from left to right across a period?,Increases,Decreases,Stays the same,Increases then decreases,B,Hard,Science,Prep 1,4
What generally happens to atomic radius as you move down a group?,Increases,Decreases,Stays the same,Decreases then increases,A,Hard,Science,Prep 1,4
What is ionization energy?,Energy released when gaining an electron,Energy required to remove an electron,Energy of the nucleus,Energy stored in bonds,B,Hard,Science,Prep 1,4
What generally happens to first ionization energy as you move from left to right across a period?,Increases,Decreases,Stays the same,Decreases then increases,A,Hard,Science,Prep 1,4
What generally happens to first ionization energy as you move down a group?,Increases,Decreases,Stays the same,Increases then decreases,B,Hard,Science,Prep 1,4
What is electronegativity?,Measure of atomic size,Energy to remove an electron,Ability of an atom to attract electrons in a bond,Reactivity with water,C,Hard,Science,Prep 1,4
Which element has the highest electronegativity?,Cesium (Cs),Oxygen (O),Fluorine (F),Helium (He),C,Hard,Science,Prep 1,4
Where are the transition metals located on the periodic table?,Groups 1 and 2,Groups 13-18,Groups 3-12 (the middle block),The bottom two rows (lanthanides and actinides),C,Hard,Science,Prep 1,4
What are the elements in the bottom two rows (separated) called?,Alkali metals and Halogens,Metalloids and Nonmetals,Lanthanides and Actinides,Transition metals and Noble gases,C,Hard,Science,Prep 1,4
How can the periodic table be used to predict the properties of an element?,By its color,By its position on the table,By its name,By its discovery date,B,Hard,Science,Prep 1,4
Where are protons and neutrons located in an atom?,Orbiting the nucleus in shells,In the nucleus at the center of the atom,Outside the atom,Attached to the electrons,B,Easy,Science,Prep 1,5
What does the atomic number of an element represent?,The number of neutrons,The total number of protons and neutrons,The number of protons,The number of electrons,C,Easy,Science,Prep 1,5
"In a neutral atom, the number of electrons is equal to the number of...?",Neutrons,Protons,Nuclei,Isotopes,B,Easy,Science,Prep 1,5
What does the mass number of an atom represent?,The number of protons only,The number of electrons only,The total number of protons and neutrons,The number of neutrons only,C,Easy,Science,Prep 1,5
"If an atom has 6 protons and 6 neutrons, what is its atomic number?",6,12,0,Cannot be determined,A,Easy,Science,Prep 1,5
"If an atom has 6 protons and 6 neutrons, what is its mass number?",6,12,0,Cannot be determined,B,Easy,Science,Prep 1,5
How do you calculate the number of neutrons in an atom if you know its mass number and atomic number?,Number of neutrons = Mass number + Atomic number,Number of neutrons = Mass number - Atomic number,Number of neutrons = Atomic number - Mass number,Number of neutrons = Mass number / Atomic number,B,Medium,Science,Prep 1,5
An atom of Carbon has an atomic number of 6 and a mass number of 14. How many neutrons does it have?,6,14,8,20,C,Medium,Science,Prep 1,5
"What is the electron configuration for a neutral Sodium atom (Na, atomic number 11)?",1s²2s²2p⁶,1s²2s²2p⁶3s¹,1s²2s²2p⁷,1s²2s¹2p⁶3s²,B,Hard,Science,Prep 1,5
Which subatomic particle has a positive charge?,Electron,Neutron,Proton,Ion,C,Easy,Science,Prep 1,5
Which subatomic particle has no charge?,Electron,Neutron,Proton,Cation,B,Easy,Science,Prep 1,5
Which subatomic particle has a negative charge?,Electron,Neutron,Proton,Anion,A,Easy,Science,Prep 1,5
Where are protons and neutrons located in an atom?,In the electron shells,Orbiting the nucleus,In the nucleus,Outside the atom,C,Easy,Science,Prep 1,5
Where are electrons found in an atom?,In the nucleus,In specific energy levels or shells around the nucleus,Combined with protons,Randomly scattered,B,Easy,Science,Prep 1,5
What does the atomic number (Z) represent?,Number of neutrons,Total mass of the atom,Number of protons,Number of electron shells,C,Easy,Science,Prep 1,5
What does the mass number (A) represent?,Number of protons,Number of electrons,Total number of protons and neutrons,Number of valence electrons,C,Easy,Science,Prep 1,5
How do you find the number of neutrons in an atom?,Atomic Number,Mass Number - Atomic Number,Mass Number + Atomic Number,Number of Electrons,B,Easy,Science,Prep 1,5
An atom has 8 protons and 8 neutrons. What is its atomic number?,8,16,0,Cannot be determined,A,Easy,Science,Prep 1,5
An atom has 8 protons and 8 neutrons. What is its mass number?,8,16,0,Cannot be determined,B,Easy,Science,Prep 1,5
What are isotopes?,Atoms with different numbers of protons,Atoms with the same number of protons but different numbers of neutrons,Atoms with different numbers of electrons,Atoms that have formed bonds,B,Easy,Science,Prep 1,5
What determines the chemical identity of an element?,Number of neutrons,Number of electrons,Number of protons,Mass number,C,Easy,Science,Prep 1,5
What are the energy levels where electrons orbit called?,Nucleons,Isotopes,Shells or energy levels,Quarks,C,Easy,Science,Prep 1,5
What is an ion?,A neutral atom,An atom that has gained or lost electrons,An atom with a different number of neutrons,A particle smaller than an atom,B,Medium,Science,Prep 1,5
What is the maximum number of electrons the first electron shell can hold?,1,2,8,18,B,Medium,Science,Prep 1,5
What is the maximum number of electrons the second electron shell can generally hold?,2,4,8,18,C,Medium,Science,Prep 1,5
What are valence electrons?,Electrons in the innermost shell,Electrons in the nucleus,Electrons in the outermost shell,Total number of electrons in an atom,C,Medium,Science,Prep 1,5
Why are valence electrons important?,They determine the atom's mass,They determine the atom's atomic number,They are involved in chemical bonding,They protect the nucleus,C,Medium,Science,Prep 1,5
An atom of Lithium (Li) has atomic number 3 and mass number 7. How many neutrons does it have?,3,4,7,10,B,Medium,Science,Prep 1,5
An atom of Fluorine (F) has atomic number 9. How many electrons does a neutral Fluorine atom have?,9,10,19,Cannot be determined,A,Medium,Science,Prep 1,5
Which model described the atom as a positively charged sphere with electrons embedded in it (plum pudding model)?,Dalton's model,Thomson's model,Rutherford's model,Bohr's model,B,Medium,Science,Prep 1,5
What did Bohr's model propose about electron location?,Electrons are in the nucleus,Electrons are randomly scattered,Electrons orbit the nucleus in specific energy levels,Electrons are mixed with protons,C,Medium,Science,Prep 1,5
What is the electron configuration?,The arrangement of protons,The arrangement of electrons in shells and orbitals,The number of neutrons,The charge of an ion,B,Medium,Science,Prep 1,5
What does the Aufbau principle state?,Electrons occupy orbitals singly first,Orbitals hold a max of 2 electrons with opposite spins,Electrons fill the lowest available energy levels first,Electron position and momentum cannot be known simultaneously,C,Hard,Science,Prep 1,5
What does Hund's Rule state?,Electrons fill lowest energy levels first,Orbitals hold a max of 2 electrons,Electrons prefer to occupy orbitals singly with parallel spins before pairing up,Electron momentum cannot be precisely known,C,Hard,Science,Prep 1,5
What is an orbital?,A fixed path for electrons,A region around the nucleus with a high probability of finding an electron,A particle in the nucleus,Another name for an electron shell,B,Hard,Science,Prep 1,5
How many electrons can an 's' subshell hold?,2,6,10,14,A,Hard,Science,Prep 1,5
How many electrons can a 'p' subshell hold?,2,6,10,14,B,Hard,Science,Prep 1,5
Which subatomic particle's number never changes for a given element?,Electron,Neutron,Proton,Ion,C,Hard,Science,Prep 1,5
What are the three main subatomic particles found in an atom?,"Protons, Neutrons, Ions","Protons, Neutrons, Electrons","Electrons, Isotopes, Nucleus","Nucleus, Shells, Bonds",B,Easy,Science,Prep 1,6
Which subatomic particle has a positive charge?,Proton,Neutron,Electron,Nucleus,A,Easy,Science,Prep 1,6
Which subatomic particle has no charge (is neutral)?,Proton,Neutron,Electron,Ion,B,Easy,Science,Prep 1,6
Which subatomic particle has a negative charge?,Proton,Neutron,Electron,Isotope,C,Easy,Science,Prep 1,6
Where are electrons located in an atom?,Inside the nucleus,Mixed with protons and neutrons,Orbiting the nucleus in specific energy levels or shells,Outside the atom entirely,C,Easy,Science,Prep 1,6
What are isotopes?,Atoms with the same number of neutrons but different numbers of protons.,Atoms with the same number of protons but different numbers of neutrons.,Atoms with the same number of electrons but different numbers of protons.,Atoms that have lost or gained electrons.,B,Easy,Science,Prep 1,6
What are the paths electrons take around the nucleus called?,Highways,Nucleons,Energy levels or shells,Isotopes,C,Easy,Science,Prep 1,6
Which subatomic particle determines the identity of an element?,Neutron,Electron,Proton,Ion,C,Easy,Science,Prep 1,6
What is an ion?,An atom with a different number of neutrons.,"An atom that has gained or lost electrons, resulting in a net charge.",A neutral atom.,A particle found only in the nucleus.,B,Medium,Science,Prep 1,6
"If a neutral atom loses an electron, what type of ion does it become?",A negative ion (anion),A neutral ion,A positive ion (cation),An isotope,C,Medium,Science,Prep 1,6
"If a neutral atom gains an electron, what type of ion does it become?",A positive ion (cation),A neutral ion,An isotope,A negative ion (anion),D,Medium,Science,Prep 1,6
What are valence electrons?,Electrons in the innermost shell,Electrons in the nucleus,Electrons in the outermost energy level,Total number of electrons,C,Medium,Science,Prep 1,6
Why are valence electrons important?,"They determine the atom""s mass.","They determine the atom""s atomic number.","They are involved in chemical bonding and determine the atom""s chemical properties.",They protect the nucleus.,C,Medium,Science,Prep 1,6
"Hydrogen-1, Hydrogen-2 (Deuterium), and Hydrogen-3 (Tritium) are isotopes of hydrogen. What differs between them?",Number of protons,Number of electrons,Number of neutrons,Atomic number,C,Medium,Science,Prep 1,6
"Which model of the atom first proposed that electrons orbit the nucleus in specific energy levels, like planets around the sun?","Dalton""s model","Thomson""s plum pudding model","Rutherford""s model","Bohr""s model",D,Medium,Science,Prep 1,6
"What did Rutherford""s gold foil experiment demonstrate about atomic structure?",Atoms are indivisible.,Electrons are embedded in a positive sphere.,"Atoms are mostly empty space with a small, dense, positively charged nucleus.",Electrons orbit in specific energy levels.,C,Medium,Science,Prep 1,6
"What is the significance of the electron cloud model (quantum mechanical model) compared to Bohr""s model?",It shows electrons orbiting in perfect circles.,"It describes the probable location of electrons in regions called orbitals, rather than fixed paths.",It places protons in the electron shells.,It ignores the existence of neutrons.,B,Hard,Science,Prep 1,6
What are orbitals within electron shells?,Fixed paths for electrons.,Regions of space around the nucleus where there is a high probability of finding an electron.,Particles within the nucleus.,Another name for isotopes.,B,Hard,Science,Prep 1,6
What are the four types of orbitals designated by letters?,"k, l, m, n","a, b, c, d","s, p, d, f","w, x, y, z",C,Hard,Science,Prep 1,6
How many electrons can a single orbital hold?,1,2,6,8,B,Hard,Science,Prep 1,6
What is electron configuration?,The arrangement of protons in the nucleus.,The arrangement of electrons in orbitals and energy levels within an atom.,The charge of an ion.,The mass number of an isotope.,B,Hard,Science,Prep 1,6
What principle states that electrons fill the lowest available energy levels first?,"Hund""s Rule",Pauli Exclusion Principle,Aufbau Principle,Heisenberg Uncertainty Principle,C,Hard,Science,Prep 1,6
What does the Pauli Exclusion Principle state regarding electrons in orbitals?,Electrons prefer to occupy orbitals singly first.,"An orbital can hold a maximum of two electrons, and they must have opposite spins.",Electrons fill lower energy levels first.,It is impossible to know both the position and momentum of an electron simultaneously.,B,Hard,Science,Prep 1,6
"What does Hund""s Rule state regarding electrons filling degenerate (equal energy) orbitals?",Electrons must pair up immediately.,Electrons prefer to occupy orbitals singly with parallel spins before pairing up.,Only one electron can go into each degenerate orbital.,Degenerate orbitals are filled randomly.,B,Hard,Science,Prep 1,6
Elements in the same group (column) generally have similar...?,Atomic masses,Chemical properties,Atomic numbers,Number of electron shells,B,Easy,Science,Prep 1,6
Elements in the same period (row) have the same number of...?,Valence electrons,Protons,Occupied electron shells (energy levels),Neutrons,C,Easy,Science,Prep 1,6
"What are the elements along the zigzag line called, which have properties of both metals and nonmetals?",Noble gases,Halogens,Metalloids (or semimetals),Alkali metals,C,Easy,Science,Prep 1,6
Which group contains the most reactive metals (Alkali Metals)?,Group 1,Group 2,Group 17,Group 18,A,Easy,Science,Prep 1,6
Which group contains the most reactive nonmetals (Halogens)?,Group 1,Group 2,Group 17,Group 18,C,Easy,Science,Prep 1,6
Which group contains the least reactive elements (Noble Gases)?,Group 1,Group 2,Group 17,Group 18,D,Easy,Science,Prep 1,6
Why do elements in the same group have similar chemical properties?,They have the same number of protons.,They have the same number of electron shells.,They have the same number of valence electrons.,They have similar atomic masses.,C,Medium,Science,Prep 1,6
How many valence electrons do elements in Group 1 (Alkali Metals) have?,1,2,7,8,A,Medium,Science,Prep 1,6
How many valence electrons do elements in Group 2 (Alkaline Earth Metals) have?,1,2,6,8,B,Medium,Science,Prep 1,6
How many valence electrons do elements in Group 17 (Halogens) have?,1,2,7,17,C,Medium,Science,Prep 1,6
How many valence electrons do elements in Group 18 (Noble Gases) have (except for Helium)?,1,2,8,18,C,Medium,Science,Prep 1,6
Which of the following is a property of most metals?,Poor conductor of heat and electricity,Brittle solid,"Good conductor of heat and electricity, malleable, ductile",Gas at room temperature,C,Medium,Science,Prep 1,6
Which of the following is a property of most nonmetals?,Shiny luster,Good conductor of electricity,Malleable and ductile,"Poor conductor of heat and electricity, often brittle solids or gases",D,Medium,Science,Prep 1,6
